from	to	effect	strength	cooperativity
1A	1B	1	0.1	2
1B	2A	1	1	2
2A	2A	1	10	2
1B	3A	1	1	2
3A	3A	1	10	2
3A	2A	-1	10	2
2A	3A	-1	10	2
2A	2B	1	1	2
2B	2C	1	1	2
2C	4A	1	1	2
2C	5A	1	1	2
4A	5A	-1	10	2
5A	4A	-1	10	2
4A	4B	1	1	2
5A	5B	1	1	2
5B	5C	1	1	2
5C	6A	1	1	2
5C	7A	1	1	2
6A	7A	-1	10	2
7A	6A	-1	10	2
6A	6B	1	1	2
7A	7B	1	1	2
3A	3B	1	1	2
3B	3C	1	1	2
3C	8A	1	1	2
3C	9A	1	1	2
8A	9A	-1	10	2
9A	8A	-1	10	2
8A	8B	1	1	2
8B	8C	1	1	2
9A	9B	1	1	2
4B	10A	1	1	2
4B	11A	1	1	2
10A	11A	-1	10	2
11A	10A	-1	10	2
11A	11B	1	1	2
11B	11C	1	1	2
10A	10B	1	1	2
10B	10C	1	1	2
10C	10D	1	1	2
10D	10E	1	1	2
