from,to
ETV5,MRPL27
PPARA,NOP2
RXRA,SMIM4
KLF4,KLF1
HOXC13,FYN
NRF1,ZBTB24
E2F1,ARHGAP44
ETS,FAM96A
KLF4,CLCC1
HNF4,NSRP1
ATF7,NBR1
SPIB,ATP6V0D1
SP1,PAAF1
SP1,ARL4D
ZFX,ROBO2
ASCL2,CCDC88A
TBX4,ZCCHC11
MYB,TRIM10
SPI1,ERBB2
KLF12,OCEL1
RUNX3,GPR98
ZFX,SLC27A4
KLF14,WBP1L
HMX1,SULT1C4
MNX1,PRKCH
SOX13,SLC39A10
KLF14,HES7
FOXC1,ODF3L1
NKX2-3,WHSC1L1
HNF4,KCNS2
PKNOX2,RORA
TEAD3,SERPINE1
WT1,RFX4
ELF3,SEC31A
RFX3,PCNXL4
ELK1,DLST
IKZF2,XPO1
ARID5B,LIPF
ETS2,INTS1
HOXC13,GPR137C
OBOX1,HOXA2
YY1,KDM5C
SP8,POLR2I
TCF21,KCTD3
EGR3,TMEM150A
CEBPG,CPNE4
BARHL1,EOMES
IRF8,ALCAM
E4F1,YTHDF3
EMX2,LATS2
EWSR1,MNT
PROP1,OPA3
RUNX2,FAM83D
SP4,EML3
MYOD1,FEZ1
KLF16,MAP3K7
KLF4,PCNT
KLF4,GGNBP2
MYOD1,JMJD1C
KLF4,SPTBN4
TBP,ATP1B2
NKX2-4,SPRY2
ELK4,SEC14L1
MAFG,MEGF10
CTCF,MTHFR
HF1H3B,CENPO
HOXC11,DGCR6
EN2,CCNY
NFKB,PLXNB2
FOXA,IZUMO4
YY1,CLDN10
ZNF219,ATXN7L3
PROP1,BRD2
SP1,PITPNM1
FOXA2,TNRC18
CREB,CLASP2
ARID3A,NRCAM
ISX,HIST3H2A
JDP2,ADAT1
TFAP2A,HTR2C
BHLHE40,SUPT16H
TCF4,ERG
YY2,RAB14
ELF4,KBTBD2
GATA5,TNFAIP3
RARG,NTN4
ETV1,TRO
RFX3,CCDC108
CRX,SYNM
HF1H3B,KANSL1L
MYB,GLDN
HIF1A,TSPAN18
PAX7,S100B
HF1H3B,ITGB8
IRX5,DSCAM
SP3,CDKL5
MIXL1,VANGL2
CPEB1,GSAP
TCF7L2,PCP4
IKZF2,GPR110
NR2F6,DLD
NFE2,GNPTAB
GABPA,CSNK1G1
ISL2,HDDC2
KLF16,KLHL7
FOXJ3,GNE
TFAP2B,HIST1H1C
HOXD1,ZNF599
GSC,TMEM194A
MYC,C17orf96
ELK1,C18orf25
RREB1,DNMBP
CTCF,SUFU
SP1,SNPH
RHOXF1,LEMD2
NOTO,IFI16
RHOXF2,VAV3
ZSCAN4,CSMD3
ELF1,GNG11
ETS1,HNRNPD
LHX5,MSI2
MSX2,LMO3
KLF7,TP53I13
MYC,APBB2
JDP2,DKK1
PPARG,ARPP21
ETV2,ZFP36L1
NKX6-2,NR2F2
ZNF281,NSG2
SP3,TXLNG
NFY,SLC25A27
CDX1,CELF1
RBPJ,ZIC5
ARNT,KNOP1
MAFK,TANGO2
EGR2,FAM174B
TFEB,ERP29
RFX4,KIF13A
SP4,RRAS
ZNF740,SIK3
XBP1,LIMD1
NFY,LYPD6
SMAD,NUP62
SRF,STARD8
SPIB,KMT2E
CREB3,PDZD8
FLI1,BCMO1
YY1,MED13L
ETV3,PREPL
FOXF1,DCT
PBX,RIMKLB
ISL2,SMPDL3A
MYOD1,PHC2
ALX3,MMP24
KLF14,CCDC136
MYOD1,NPC1
GBX2,PKIG
POU5F1B,PIM2
FEV,POLI
SPIB,WRAP73
MYOD1,RAP1GAP2
BHLHE23,CHN2
ISX,PFDN1
TFAP2C,PLXNC1
NR6A1,AP3B2
FEV,AADAT
IRF7,ADAMTS6
ELK1,MLF2
