protein_ids	protein_names	gene_names	uniprot_ids	refset_protein_ids	refseq_mrna_id	ensembl_id	mgi_id	protein_length	protein_copynumber	protein_halflife	mrna_copynumber	mrna_halflife	transcription_rate	translation_rate
IPI00229543.3;IPI00221463.3;IPI00265761.6;IPI00229545.3;IPI00229544.3	Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1;Histone H2A type 1-K;Histone H2A type 1-H	Hist1h2af;Hist3h2a;Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ak;Hist1h2ah	Q8CGP5;Q61668;Q8BFU2;A2AB79;P22752;B2RVF0;Q8CGP7;Q8CGP6;A0AUV1;A3KPD0	NP_783592;NP_835736;NP_783591;NP_835489;NP_835491;NP_835492;NP_835493;NP_835494;NP_835495;NP_835496;XP_983435;NP_835490;NP_783590	NA	ENSMUST00000073261;ENSMUST00000108817;ENSMUST00000070124;ENSMUST00000078369;ENSMUST00000081342;ENSMUST00000090776;ENSMUST00000091708;ENSMUST00000091741;ENSMUST00000091745;ENSMUST00000091751;ENSMUST00000102969;ENSMUST00000074752;ENSMUST00000091742	MGI:2448309;MGI:2448458;MGI:2448306;MGI:2448287;MGI:2448289;MGI:2448290;MGI:2448293;MGI:2448457;MGI:2448300;MGI:2448302;MGI:2448297;MGI:2448295	130	112195575.48	94.71	"NA"	"NA"	"NA"	"NA"
IPI00624840.2;IPI00623776.3;IPI00624933.1;IPI00844736.1;IPI00329998.3;IPI00621374.1;IPI00621789.1;IPI00874920.1;IPI00876005.1;IPI00407339.7	Histone H4	Hist1h4a;Hist1h4b;H4-53;Hist1h4c;H4-12;Hist1h4d;Hist1h4f;Hist1h4h;Hist1h4i;Hist1h4j;Hist1h4k;Hist1h4m;Hist2h4a;Hist2h4;Hist4h4	P62806;B2RTM0;Q61667;Q6B822	XP_981474;NP_291074;NP_694813;NP_783583;NP_783585;NP_783586;NP_783587;NP_783588;NP_835499;NP_835500;NP_835515;NP_835582;NP_835583;XP_001476113	NA	ENSMUST00000073009;ENSMUST00000075596;ENSMUST00000076545;ENSMUST00000078578;ENSMUST00000079030;ENSMUST00000079084;ENSMUST00000082036;ENSMUST00000087714;ENSMUST00000090778;ENSMUST00000091702;ENSMUST00000091713;ENSMUST00000091746;ENSMUST00000091747;ENSMUST00000102964;ENSMUST00000102965;ENSMUST00000102967;ENSMUST00000102968;ENSMUST00000102971;ENSMUST00000102972;ENSMUST00000102977;ENSMUST00000102979;ENSMUST00000102983;ENSMUST00000102984;ENSMUST00000104941	MGI:2448419;MGI:2448420;MGI:2448421;MGI:2448423;MGI:2448425;MGI:2448427;MGI:2448432;MGI:2448436;MGI:2448439;MGI:2448441;MGI:2140113;MGI:2448443	105	114276755.88	104.65	"NA"	"NA"	"NA"	"NA"
IPI00110850.1;IPI00473320.2;IPI00874780.1;IPI00857335.1;IPI00754167.2;IPI00454053.7	Actin, cytoplasmic 1;Beta-actin;Actin, cytoplasmic 1, N-terminally processed;Putative uncharacterized protein	Actb	P60710;B2RRX1;Q3TIJ9;Q3U5R4;Q3UA89;Q3UAA9;Q3UAF6;Q3UAF7;Q3UBP6;Q3UGS0;Q61276;Q3U804;Q3U939;Q3UBQ4;Q3UCF8	NP_031419	NM_007393	ENSMUST00000031564;ENSMUST00000100497	MGI:87904;MGI:87904	375	120124358.27	61.92	2187.7600000000002	11.210000000000001	182.30000000000001	1895.55
IPI00348270.3;IPI00124518.3	Histone H2B type 2-B;H2b 616	Hist2h2bb	Q64525	NP_783597	NA	ENSMUST00000018246;ENSMUST00000051091;ENSMUST00000079251;ENSMUST00000091704;ENSMUST00000110429;ENSMUST00000110430	MGI:2448413	126	84235179.88	93.48	"NA"	"NA"	"NA"	"NA"
IPI00282848.1;IPI00230730.4;IPI00659000.1;IPI00886422.1;IPI00831580.1	Histone H3.2	Hist1h3b;H3-53;H3.2;H3b;Hist1h3c;H3-143;Hist1h3d;H3-B;Hist1h3e;H3-F;Hist1h3f;H3.2-221;H3f;Hist2h3b;H3.2-616;Hist2h3c1;H3.2-615;Hist2h3ca1;Hist2h3c2;H3.2-614;Hist2h3ca2	P84228;A1L0U3;B9EI85	NP_835734;NP_038576;NP_473386;NP_783584;NP_835510;NP_835511;NP_835512;NP_835587;NP_001074488	NA	ENSMUST00000075558;ENSMUST00000090779;ENSMUST00000091703;ENSMUST00000091711;ENSMUST00000098843;ENSMUST00000099704;ENSMUST00000105105;ENSMUST00000105107	MGI:2448319;MGI:2448320;MGI:2448322;MGI:2448326;MGI:2448329;MGI:2448351;MGI:2448355;MGI:2448357	181	59865425.67	79.67	"NA"	"NA"	"NA"	"NA"
IPI00470152.2;IPI00755353.2;IPI00660718.1;IPI00342013.3;IPI00890072.1	40S ribosomal protein S27a;Putative uncharacterized protein	Rps27a;Uba80;Ubcep1	P62983;Q642L7;Q3TWD1	NP_001029037;NP_077239;XP_001481004;XP_889611;XP_001002242;XP_930453	NM_001033865	ENSMUST00000078766;ENSMUST00000102844;ENSMUST00000102845	MGI:1925544;MGI:1925544	156	33958673.77	11.23	12.789999999999999	10.26	1.1299999999999999	224528.75
IPI00307837.6;IPI00831365.1;IPI00831184.1;IPI00849577.1	Elongation factor 1-alpha 1;eEF1A-1;Elongation factor Tu	Eef1a1;Eef1a	P10126;Q3TII3;Q3UA81;Q3UZQ3;Q4FZE5;Q58E64	NP_034236	NM_010106	ENSMUST00000042235	MGI:1096881	462	35632177.98	126.33	3229.54	17.5	196.88999999999999	319.13
IPI00124096.1;IPI00918751.1	Protein S100-A4;S100 calcium-binding protein A4;Metastasin;Protein Mts1;Metastatic cell protein;Placental calcium-binding protein;18A2;PEL98	S100a4;Capl;Mts1	P07091;Q545V2	NP_035441	NM_011311	ENSMUST00000001046	MGI:1330282	101	24371554.19	146.19	1825.51	15.890000000000001	118.28	375.95999999999998
IPI00229517.5	Galectin-1;Lectin galactoside-binding soluble 1;Beta-galactoside-binding lectin L-14-I;S-Lac lectin 1;Galaptin;14 kDa lectin	Lgals1;Gbp	P16045	NP_032521	NM_008495	ENSMUST00000089377	MGI:96777	135	24190416.04	156.95	2247.0500000000002	13.779999999999999	172.72999999999999	277.10000000000002
IPI00223713.5	Histone H1.2;H1 VAR.1;H1c	Hist1h1c;H1f2	P15864;Q3UXH2;Q5SZA3	NP_056601	NM_015786	ENSMUST00000040914	MGI:1931526	212	18048885.06	56.98	4.3099999999999996	3.8500000000000001	0.85999999999999999	147337.14999999999
IPI00468203.3;IPI00605518.1;IPI00885292.1;IPI00885367.1	Annexin A2;Annexin-2;Annexin II;Lipocortin II;Calpactin I heavy chain;Chromobindin-8;p36;Protein I;Placental anticoagulant protein IV	Anxa2;Anx2;Cal1h;CT009708.1-003;CT009708.1-004	P07356;Q3UCD3;Q542G9;Q99KH3;Q9CZI7;B0V2N7;B0V2N8	NP_031611;XP_001474833	NM_007585	ENSMUST00000034756	MGI:88246	339	24585526.19	232.62	630.69000000000005	15.1	42.270000000000003	1034.1199999999999
IPI00849530.1;IPI00848801.1;IPI00850432.1	NA	NA	NA	XP_001472565;XP_001472584;XP_001481063;XP_001481064;XP_001481068;XP_001472609	NA	NA	NA	333	28372978.34	353.55	"NA"	"NA"	"NA"	"NA"
IPI00131459.1;IPI00649586.1;IPI00551485.1;IPI00854035.1	Nucleoside diphosphate kinase A;Tumor metastatic process-associated protein;Metastasis inhibition factor NM23;NDPK-A;nm23-M1;Nucleoside diphosphate kinase;Expressed in non-metastatic cells 1 protein	Nme1;Nm23;RP23-378I13.1-002;RP23-378I13.1-003	P15532;Q5NC81;Q5NC80;Q5NC79	NP_032730;XP_001476969	NM_008704	ENSMUST00000021220;ENSMUST00000107844	MGI:97355;MGI:97355;MGI:97355	152	17140848.33	173.71	145.84999999999999	14.289999999999999	10.140000000000001	3234.0700000000002
IPI00890117.1;IPI00848816.1;IPI00407543.2;IPI00409405.2	Cofilin-1;Cofilin, non-muscle isoform;Putative uncharacterized protein	Cfl1	P18760;Q544Y7;Q9CX22	NP_031713;XP_001480334;XP_890553	NM_007687	ENSMUST00000070195;ENSMUST00000116560	MGI:101757;MGI:101757	166	20728410.95	67.3	729.82000000000005	14.390000000000001	50.509999999999998	956.61000000000001
IPI00323357.3;IPI00886297.1;IPI00457741.4;IPI00886370.1;IPI00885277.1;IPI00668185.1;IPI00930873.1	Heat shock cognate 71 kDa protein;Heat shock 70 kDa protein 8;Putative uncharacterized protein	Hspa8;Hsc70;Hsc73	P63017;Q3KQJ4;Q3TB63;Q3TEK2;Q3TF16;Q3TH04;Q3TH56;Q3TQ13;Q3TRH3;Q3TZJ3;Q3U9L2;Q3UBA6;Q3UDS0;Q3ULM1;Q3UBR0;Q3UXU1;Q504P4;Q9QZ38	NP_112442	NM_031165	ENSMUST00000015800;ENSMUST00000117557	MGI:105384;MGI:105384	646	22087695.94	76.26	"NA"	10.380000000000001	27.030000000000001	"NA"
IPI00224740.6;IPI00650039.1	Profilin-1;Profilin I;Profilin	Pfn1;DN-183N8.15-002;RP23-326P7.1-002	P62962;Q3U7V7;Q5SX50;Q8CEH8;Q5SX49	NP_035202	NM_011072	ENSMUST00000018437;ENSMUST00000108549	MGI:97549;MGI:97549	140	20300358.21	115.73	692.25	16.039999999999999	44.600000000000001	864.80999999999995
IPI00117352.1	Tubulin beta-5 chain	Tubb5	P99024;Q80ZV2	NP_035785	NM_011655	ENSMUST00000001566	MGI:107812	444	28010245.08	136.33	395.88999999999999	13.73	28.390000000000001	2019.8499999999999
IPI00462072.3;IPI00648821.1;IPI00473227.1;IPI00849751.1;IPI00889980.1;IPI00649376.1	Alpha-enolase;2-phospho-D-glycerate hydro-lyase;Non-neural enolase;Enolase 1;Enolase	Eno1;Eno-1;RP23-278I3.3-002	P17182;Q5FW97;Q6PHC1	NP_001020559;NP_075608;XP_001471566	NM_001025388	ENSMUST00000076155;ENSMUST00000080926;ENSMUST00000081067;ENSMUST00000080149	MGI:95393;MGI:95393	434	23534416.54	214.8	"NA"	12.779999999999999	11.640000000000001	"NA"
IPI00553777.2;IPI00889986.1;IPI00620806.3;IPI00469298.7	Heterogeneous nuclear ribonucleoprotein A1;hnRNP core protein A1;Helix-destabilizing protein;HDP-1;Single-strand-binding protein;Topoisomerase-inhibitor suppressed	Hnrnpa1;Fli-2;Hnrpa1;Tis	P49312-2;P49312;P70370;Q3UK83;Q5EBP8	NP_001034218	NM_001039129	ENSMUST00000036004;ENSMUST00000087351	MGI:104820	373	17149858.28	163.81	"NA"	9.1799999999999997	"NA"	"NA"
IPI00555113.2	60S ribosomal protein L18	Rpl18	P35980;Q0QEW9;Q58EW0;Q642K1	NP_033103	NM_009077	ENSMUST00000072503;ENSMUST00000075178	MGI:98003	188	14414148.93	121.22	408.89999999999998	18.140000000000001	24.370000000000001	1027.75
IPI00322562.5;IPI00663582.1;IPI00895514.1;IPI00895455.1	40S ribosomal protein S14	Rps14	P62264;O70569;Q3UJS5	NP_065625;XP_001474230;XP_913463	NM_020600	ENSMUST00000025511;ENSMUST00000118551;ENSMUST00000122279	MGI:98107	151	11167559.75	232.5	341.75999999999999	15.529999999999999	22.710000000000001	867.99000000000001
IPI00554989.3;IPI00755515.1;IPI00874996.1	Peptidyl-prolyl cis-trans isomerase A;Cyclophilin A;Cyclosporin A-binding protein;SP18	Ppia	P17742;Q3TE63;Q3UAJ1;Q5SVY2;Q9CZK9	NP_032933	NA	ENSMUST00000071781;ENSMUST00000090749	MGI:97749	167	17479417.94	149.73	"NA"	"NA"	"NA"	"NA"
IPI00225634.6;IPI00554850.2;IPI00473415.1;IPI00120475.1;IPI00116908.1	40S ribosomal protein S12	Rps12;mCG_132913;mCG_6749	Q6ZWZ6;P63323	NP_035425;XP_001478109;XP_001480687;XP_001479102;XP_484385;XP_917125	NA	ENSMUST00000073926;ENSMUST00000080355;ENSMUST00000086764;ENSMUST00000093054	MGI:98105;MGI:98105	132	11390047.53	166.86	"NA"	"NA"	"NA"	"NA"
IPI00407130.4	Pyruvate kinase isozymes M1/M2;Pyruvate kinase muscle isozyme	Pkm2;Pk3;Pykm	P52480-1;P52480	NP_035229	NM_011099	ENSMUST00000034834	MGI:97591	531	17242756.84	136.68	1089.96	21	59.420000000000002	452.05000000000001
IPI00555055.3;IPI00919098.1;IPI00331734.5;IPI00320149.2;IPI00918450.1;IPI00651852.1	Histone H2A.V;H2A.F/Z;Histone H2A.Z;Histone H2A	H2afv;H2av;H2afz;H2az;RP23-74L9.1-002;mCG_121516	Q3THW5;B2RVP5;P0C0S6;Q5NC91;Q8R029;Q3UA95	NP_084214;NP_058030;XP_001000460;XP_001480434	NM_029938	ENSMUST00000060240;ENSMUST00000109737;ENSMUST00000041045;ENSMUST00000093346;ENSMUST00000109739	MGI:1924855;MGI:1888388;MGI:1924855;MGI:1924855;MGI:1888388	129	10824992.16	125.88	10.94	19.969999999999999	0.62	29040.139999999999
IPI00108125.4;IPI00648714.1;IPI00850758.1;IPI00848526.1	Eukaryotic translation initiation factor 5A-1;Eukaryotic initiation factor 5A isoform 1;eIF-4D	Eif5a	P63242	NP_001160061;NP_001160062;NP_001160063;NP_001160064;NP_001160065;NP_001160066;NP_001160067;NP_001160068;NP_853613;XP_001472697;XP_984172	NM_001166589	ENSMUST00000043419;ENSMUST00000070996;ENSMUST00000071026;ENSMUST00000108607;ENSMUST00000108608;ENSMUST00000108609;ENSMUST00000108610;ENSMUST00000108611;ENSMUST00000108612;ENSMUST00000108613	MGI:106248	154	15089910.44	50.34	437.31999999999999	12.630000000000001	33.219999999999999	1280.1300000000001
IPI00110753.1;IPI00466390.1;IPI00473667.1	Tubulin alpha-1A chain;Tubulin alpha-1 chain;Alpha-tubulin 1;Alpha-tubulin isotype M-alpha-1;Tubulin alpha-3 chain;Tubulin alpha-3/alpha-7 chain;Alpha-tubulin 3/7;Alpha-tubulin isotype M-alpha-3/7;Putative uncharacterized protein	Tuba1a;Tuba1;Tuba3a;Tuba3;Tuba3b;Tuba7	P68369;P05214;Q5FW91;Q9D9Y2	NP_035783;NP_033472;NP_033475	NM_011653	ENSMUST00000097014;ENSMUST00000087445;ENSMUST00000088246	MGI:98869;MGI:1095406;MGI:1095408;MGI:1095408	451	22952266.95	107.35	"NA"	10.300000000000001	"NA"	"NA"
IPI00134621.3;IPI00126133.1	GTP-binding nuclear protein Ran;GTPase Ran;Ras-related nuclear protein;Ras-like protein TC4	Ran;Rasl2-8	P62827;Q3ULW0	NP_033417;XP_001475472	NM_009391	ENSMUST00000031383;ENSMUST00000111343	MGI:1333112	216	13614745.82	90.65	165.94	15.9	10.76	2549.02
IPI00116498.1;IPI00853851.1;IPI00473203.1;IPI00776377.1;IPI00775847.1	14-3-3 protein zeta/delta;Protein kinase C inhibitor protein 1;SEZ-2	Ywhaz	P63101;Q3UA58	NP_035870;XP_001477753	NM_011740	ENSMUST00000022894;ENSMUST00000110361;ENSMUST00000110362	MGI:109484	245	15356631.58	111.89	72.150000000000006	11.109999999999999	6.0599999999999996	6288.3199999999997
IPI00323819.3;IPI00122010.1	40S ribosomal protein S20	Rps20	P60867;Q5BLK2	NP_080423	NM_026147	ENSMUST00000103009	MGI:1914677	119	9541317.71	185.87	445.93000000000001	10.99	37.740000000000002	580.20000000000005
IPI00137735.1;IPI00848593.1;IPI00115992.1;IPI00850188.1;IPI00677917.1;IPI00605858.2;IPI00461419.2;IPI00755670.2;IPI00661810.3	40S ribosomal protein S25	Rps25	P62852;Q58EA6	NP_077228;XP_001474736;XP_144599;XP_001472982;XP_001473001;XP_001473250;XP_001473274;XP_001473287;XP_991849;XP_622656;XP_919177;XP_899588	NM_024266	ENSMUST00000080300	MGI:1922867	125	10959573.92	139.91	11.34	3.1299999999999999	2.7200000000000002	27023.560000000001
IPI00229080.7;IPI00830562.2;	Heat shock protein 84b;Heat shock protein 90 alpha (Cytosolic), class B member 1;Putative uncharacterized protein;MCG18238	Hsp90ab1;Hsp84b;Hspcb;mCG_18238	Q71LX8;Q80YC2;Q811H6	NP_032328	NM_008302	ENSMUST00000024739	MGI:96247	724	16232953.45	77.4	898.58000000000004	19.09	52.090000000000003	585.00999999999999
IPI00136984.1;IPI00666161.1;IPI00850934.1;IPI00850039.1;IPI00349458.5;IPI00344904.5	40S ribosomal protein S7	Rps7	P62082;Q4FZE6	NP_035430;XP_894928;XP_913770;XP_001478257	NM_011300	ENSMUST00000074267	MGI:1333818	194	11644436.86	146.2	68.799999999999997	15.69	4.5099999999999998	4765.0799999999999
IPI00118384.1;IPI00885651.1;IPI00828266.2	14-3-3 protein epsilon;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	Ywhae;RP23-78H4.1-005	P62259;Q3V453;Q5SS40;Q8BPH1;A2ACM8	NP_033562	NM_009536	ENSMUST00000067664;ENSMUST00000108422	MGI:894689;MGI:894689	255	14499283.01	143.71	248.59999999999999	17.75	15.02	1662.76
IPI00224505.7;IPI00134097.1;IPI00653474.1;IPI00890196.1	60S ribosomal protein L13;A52	Rpl13	P47963;Q5RKP3	NP_058018;XP_001473225;XP_001473412;XP_001475146;XP_985187;XP_999884	NM_016738	ENSMUST00000000756;ENSMUST00000079761	MGI:105922;MGI:105922	211	9522560.93	173.25	"NA"	6.3200000000000003	"NA"	"NA"
IPI00123604.4;IPI00622968.1;IPI00659629.1;IPI00606764.1	40S ribosomal protein SA;Laminin receptor 1;37/67 kDa laminin receptor;Laminin-binding protein precursor p40;37 kDa laminin receptor precursor;67 kDa laminin receptor;37 kDa oncofetal antigen;OFA/iLRP	Rpsa;Lamr1;P40-8	P14206;B2CY77	NP_035159;XP_001473955;XP_001475568;XP_001480243;XP_921694	NM_011029	ENSMUST00000035105	MGI:105381	295	15994455.33	234.01	"NA"	11.52	"NA"	"NA"
